A_0	a_m a_m
LIE_4	li eh_h eh_l
LIN_0	li i_m nn_m
LIN_1	li i_h nn_h
LIN_2	li i_l nn_h
LIN_3	li i_l nn_l
LIN_4	li i_h nn_l
LING_0	li el_m ng_m
LING_1	li el_h ng_h
LING_2	li el_l ng_h
LING_3	li el_l ng_l
LING_4	li el_h ng_l
LIU_0	li o_m u_m
LIU_1	li o_h u_h
LIU_2	li o_l u_h
LIU_3	li o_l u_l
LIU_4	li o_h u_l
LONG_0	lu u_m ng_m
LONG_1	lu u_h ng_h
LONG_2	lu u_l ng_h
LONG_3	lu u_l ng_l
LONG_4	lu u_h ng_l
LOU_0	l o_m u_m
LOU_1	l o_h u_h
LOU_2	l o_l u_h
LOU_3	l o_l u_l
LOU_4	l o_h u_l
LU_0	lu u_m u_m
LU_1	lu u_h u_h
LU_2	lu u_l u_h
LU_3	lu u_l u_l
LU_4	lu u_h u_l
LUAN_0	lu a_m nn_m
LUAN_1	lu a_h nn_h
LUAN_2	lu a_l nn_h
LUAN_3	lu a_l nn_l
LUAN_4	lu a_h nn_l
LUN_0	lu el_m nn_m
LUN_1	lu el_h nn_h
LUN_2	lu el_l nn_h
LUN_3	lu el_l nn_l
